Key,Value
Density,0.576983
Density_unit,g/cm^3
Estimated_saturation_loading,33.871344
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.865, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.865, 1.865, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,12736.2
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.7185
POAV_Volume_fraction_unit,
POAV_cm^3/g,1.24527
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,17726.2
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-3.2862784943
adsorption_energy_widom_dev,0.0074447204
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,2.0996814472
conversion_factor_molec_uc_to_mg_g,2.6039633099
conversion_factor_molec_uc_to_mol_kg,0.1623418522
henry_coefficient_average,1.1196e-06
henry_coefficient_dev,2.34496e-09
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.0029644173362308, 0.0036073513971751, 0.01247461666375, 0.0093074988525394, 0.0085622977366119, 0.023895132469734, 0.016959060064576, 0.020934018043423, 0.017291472604812, 0.023487359754016, 0.040978839566246, 0.056831706665629, 0.069041712798778, 0.04537466095581, 0.021995637585498, 0.043480179236672, 0.022131904608891, 0.036257387256277], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.02162393471304, 0.08821656248548, 0.15938723048996, 0.21740820846624, 0.28500735572232, 0.36017163329092, 0.42072514416152, 0.49069448245972, 0.55968976964472, 0.62254853481656, 0.69024508718396, 0.7656041749752, 0.81278071722452, 0.91573791988976, 0.96541452666296, 1.008435117496, 1.0930476908626, 1.1446399314918], 'enthalpy_of_adsorption_dev': [0.24171358492762, 0.064641964530693, 0.081120068510805, 0.18124466837944, 0.15313853483325, 0.11578095665694, 0.10380485229436, 0.059907734903095, 0.13767368403549, 0.074240403082986, 0.10715974491365, 0.098933759031537, 0.12310493626999, 0.073752720893301, 0.084900750791948, 0.087626142193177, 0.051841294388599, 0.07784978340941], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-5.8446441013361, -5.8431283829288, -5.7949116593084, -5.8097365160926, -5.8231160775902, -5.8562210138601, -5.8792360712712, -5.8900277701562, -5.9138583056879, -5.8920356189669, -5.9983830951253, -6.0095595852768, -5.9959461392, -6.0239244884554, -6.0362845360139, -6.0720521646587, -6.0893730928804, -6.1240213514255]}"
temperature,300
temperature_unit,K
