Key,Value
Density,0.886275
Density_unit,g/cm^3
Estimated_saturation_loading,14.6662872
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 100000]"
Number_of_blocking_spheres,0
POAV_A^3,836.447
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.61313
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.691806
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,1364.22
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-24.4062699109
adsorption_energy_widom_dev,0.2100404792
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,27.2823602987
conversion_factor_molec_uc_to_mg_g,60.4275444139
conversion_factor_molec_uc_to_mol_kg,1.3733907382
henry_coefficient_average,8.62592e-05
henry_coefficient_dev,3.31965e-06
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.41237835798685, 0.67488157554252, 1.0066716699565, 1.4376337913096, 2.0167438302239, 2.6167438302239, 3.2167438302239, 3.8167438302239, 4.4167438302239, 5.0167438302239, 5.6167438302239, 6.2167438302239, 6.8167438302239, 7.4167438302239, 8.0167438302239, 8.6167438302239, 9.2167438302239, 9.8167438302239, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.47201468155795, 0.41780534403944, 0.34179779305044, 0.20186457214317, 0.19171271089656, 0.16362923308179, 0.3366280857968, 0.39220722785561, 0.34675347837041, 0.28314354535196, 0.23786841631938, 0.18650431316573, 0.39695029429789, 0.2109406903473, 0.2588410362738, 0.30768851365508, 0.38044555860371, 0.32730313858146, 0.44761402366004, 0.30623359569587], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [1.8645839357172, 3.493013334001, 5.7985930357542, 7.2741983796448, 8.7391942800827, 10.003966978275, 10.810353350209, 11.57104014533, 12.039211880598, 12.534696924172, 12.676396513586, 12.955692687583, 13.455658418441, 13.554714225433, 13.665392351548, 13.707984631816, 13.843383791219, 14.123006145516, 14.11514348354, 14.277581273101], 'enthalpy_of_adsorption_dev': [3.2615410441246, 2.0666519917188, 2.826648275174, 1.9813895720569, 2.8049661436898, 2.5858588211818, 3.0658633109675, 3.3635865905066, 2.4363894223974, 4.835273976703, 1.480082462398, 4.3732504385856, 2.7166980702236, 2.0132957438494, 4.2620050302229, 4.014431202348, 3.7671041630291, 5.0693694179076, 4.0160965054501, 2.870435002037], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-26.36207386529, -27.299058974167, -27.976963241958, -28.618162846192, -28.715258204252, -27.41894764411, -27.986600483899, -29.092372436041, -29.134254653995, -28.52831516633, -28.464865348, -28.719062466223, -28.577953489146, -29.429429797211, -30.297965628196, -29.95177255078, -28.308756661927, -30.786417816135, -30.490752870553, -29.976654610761]}"
temperature,298
temperature_unit,K
