Key,Value
Density,0.886275
Density_unit,g/cm^3
Estimated_saturation_loading,19.4902949
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.655, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.655, 1.655, 100000]"
Number_of_blocking_spheres,0
POAV_A^3,832.696
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.61038
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.688703
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,1364.22
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-9.8115115598
adsorption_energy_widom_dev,0.0512967097
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,27.2823602987
conversion_factor_molec_uc_to_mg_g,38.473453978
conversion_factor_molec_uc_to_mol_kg,1.3733907382
henry_coefficient_average,3.3303e-06
henry_coefficient_dev,1.80522e-08
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.005474861628457, 0.02047889779519, 0.021782806223841, 0.015808690830285, 0.05965169744313, 0.025456492954946, 0.05354649973194, 0.04970751993193, 0.066676263927349, 0.082564417222999, 0.10692872256678, 0.080838177271105, 0.12979389006573, 0.087658257548228, 0.09951963290763, 0.12155044383355, 0.14877037653926, 0.082865909176734], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.066300437886605, 0.2616309356271, 0.45220606793658, 0.64839493488845, 0.848257622065, 0.9931503449451, 1.1750216134512, 1.3352448104465, 1.4789529838149, 1.6210817578344, 1.7738543100749, 1.9110903795895, 2.0723436196384, 2.2273479318285, 2.3237084594975, 2.4646011818526, 2.5917599968257, 2.6893737435432], 'enthalpy_of_adsorption_dev': [0.34475810863619, 0.2399911950313, 0.48152611974425, 0.30313548344184, 0.21969631588137, 0.55236221762158, 0.75616904043301, 0.57488911892112, 0.64237300973618, 0.84635659707499, 0.66131919050826, 0.48092478777448, 0.74538690312872, 0.47816052646895, 0.75651764735227, 0.45643556741746, 0.31252069874369, 0.76508785014093], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-12.190379719472, -12.262775435883, -12.246060795025, -12.404306037099, -12.476861972346, -12.32574584487, -12.365068884953, -12.538596526236, -12.462201574751, -12.617823451648, -12.295975322807, -12.478315332618, -12.283400430687, -12.325414349023, -12.628047525213, -12.653350544179, -12.68351724826, -12.6740817141]}"
temperature,298
temperature_unit,K
