Key,Value
Density,1.03926
Density_unit,g/cm^3
Estimated_saturation_loading,9.6135004
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 100000]"
Number_of_blocking_spheres,0
POAV_A^3,1247.55
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.47127
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.453467
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,2647.21
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-23.6360692786
adsorption_energy_widom_dev,0.0425612679
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,14.0598000531
conversion_factor_molec_uc_to_mg_g,26.5569800057
conversion_factor_molec_uc_to_mol_kg,0.6035841888
henry_coefficient_average,0.000184485
henry_coefficient_dev,1.79976e-06
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.29978600999698, 0.42909969195503, 0.60236381339686, 0.84457664452247, 1.2024874663378, 1.7725806031927, 2.3725806031927, 2.9725806031927, 3.5725806031927, 4.1725806031927, 4.7725806031927, 5.3725806031927, 5.9725806031927, 6.5725806031927, 7.1725806031927, 7.7725806031927, 8.3725806031927, 8.9725806031927, 9.5725806031927, 10.172580603193, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.16437493663004, 0.13870351524632, 0.19653293556923, 0.18023612541156, 0.17239169848834, 0.091109340004277, 0.018577193111698, 0.13053167045838, 0.094010023833724, 0.15737557978117, 0.14355987105909, 0.13684036752832, 0.024899796640629, 0.15974730524304, 0.20482069139726, 0.15380401604917, 0.19782731015257, 0.10633266131686, 0.17300242857071, 0.200202833004, 0.2095930932366, 0.17713715083688], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [4.7946716011177, 6.4295598543542, 7.3314051700498, 8.0919816063566, 8.5058492248602, 9.0686512420105, 9.2823099850891, 9.5244277226696, 9.5968578253256, 9.7661933694935, 9.8173270100414, 9.8453433761584, 9.9215458799944, 9.9954748833658, 10.071355475655, 10.091857218561, 10.10249036004, 10.203892503758, 10.290687910108, 10.279350587115, 10.240882154775, 10.224706098515], 'enthalpy_of_adsorption_dev': [1.4876285866321, 1.5440172025309, 0.99929990105843, 2.2202349238815, 2.8407679861648, 1.3573698668862, 4.4057557722847, 3.8073433522071, 7.4246540370657, 6.8905343011316, 3.0528403714882, 8.6320201541493, 9.913300350037, 9.7652833719954, 8.0635661786103, 4.3884332061227, 8.1651445544719, 8.739238374365, 9.722782627855, 7.6660846657188, 12.970368628038, 15.450214719846], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-32.670773989175, -35.074106740499, -35.529579955601, -37.128993872274, -35.477248925361, -38.984936851995, -37.482153018549, -38.086252774937, -37.034029832132, -37.240464942256, -38.857155720735, -39.740758940078, -42.242174552892, -35.464901099998, -37.516206047908, -37.077808568839, -38.330228397063, -36.820505599761, -36.613019297764, -34.795289799041, -38.114630631979, -33.932831558205]}"
temperature,298
temperature_unit,K
