Key,Value
Density,1.03926
Density_unit,g/cm^3
Estimated_saturation_loading,12.6561279
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.655, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.655, 1.655, 100000]"
Number_of_blocking_spheres,0
POAV_A^3,1230.34
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.46477
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.447213
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,2647.21
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-13.6836914161
adsorption_energy_widom_dev,0.0135984005
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,14.0598000531
conversion_factor_molec_uc_to_mg_g,16.908493601
conversion_factor_molec_uc_to_mol_kg,0.6035841888
henry_coefficient_average,1.05215e-05
henry_coefficient_dev,3.47987e-08
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.0049538865674992, 0.038257589155945, 0.086597642714281, 0.03863907983452, 0.039886792953909, 0.146175767994, 0.083591444280603, 0.082068057723982, 0.075504138761674, 0.083999341767438, 0.06975344966095, 0.071087863665405, 0.056150295163137, 0.045021455702083, 0.085915685774335, 0.10440095911028, 0.100202340094, 0.061281252689051], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.20639561336016, 0.7734931379472, 1.2579599870875, 1.7026606979425, 2.067316085606, 2.4839803108309, 2.7996649013299, 3.0791042612915, 3.3339676850123, 3.6016371532319, 3.8048740093574, 4.03575502133, 4.2225442082504, 4.4140413519038, 4.6071581131104, 4.7102100535914, 4.874867820296, 4.9467245179727], 'enthalpy_of_adsorption_dev': [0.27193071595454, 0.42924915816517, 0.18880971622891, 0.30568690396016, 0.42576653114165, 0.33913646454316, 0.69188447947586, 0.52944615998603, 0.45738453351958, 0.276365826079, 0.1245589284378, 0.34395333117158, 0.58329191921711, 0.22688427992983, 0.43455598513382, 0.17983970633476, 0.79176453568132, 0.78696928653979], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-16.309759048165, -16.605945474047, -16.721340450475, -17.20104121457, -17.271499339004, -17.5007836339, -17.63350710467, -17.822210554322, -17.751360072502, -18.290765757901, -17.987618584387, -18.427125705686, -18.260222493827, -18.621750018707, -18.387313694678, -18.57609172466, -18.715131825098, -18.887180913422]}"
temperature,298
temperature_unit,K
